Name rus, Name eng,DOB,Gender,Description,Tag
Абакаров Хизри Магомедович,Abakarov Khizri Magomedovich,28.06.1960,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Абашкин Игорь Анатольевич,Abashkin Igor Anatolievich,02.03.1970,male,"Head of the Directorate of the Federal Service of the National Guard Troops of the Russian Federation for the Ulyanovsk Oblast. Heads special military units in the territory under his jurisdiction, which carried out the dispersal of peaceful protests against the Russian invasion of Ukraine and the political regime in Russia.","Key ‘siloviki’ (security forces) figure
National Guard of Russia"
Абазалиева Лариса Хасанбиевна,Abazalieva Larisa Khasanbievna,23.08.1967,female,Chairman of the Election Commission of the Karachay-Cherkess Republic. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Аббазов Ильшат Загфярович,Abbazov Ilshat Zagfyarovich,,male,Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia.,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Абдрахимов Раиф Рамазанович,Abdrakhimov Raif Ramazanovich,13.10.1969,male,"Deputy Prime Minister of the Government of the Republic of Bashkortostan. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Абдул-Кадыров Шарпудди Муайдович,Abdul-Kadyrov Sharpuddi Muaydovich,05.10.1965,male,Prosecutor of the Chechen Republic. Head of the federal state body that provides legal protection for the Russian political regime and refused to protect the rule of law in the context of the invasion of Russian troops in Ukraine.,"Key ‘siloviki’ (security forces) figure 
Prosecutor’s Office"
Абдулаев М. М.,Abdulaev M. M.,,male,Investigator for particularly important cases of the first department of investigation of particularly important cases (on crimes against the person and public safety) of the Investigation Department of the RF IC in the Penza Oblast. Involved in the fabrication of the “FBK case”,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
АБДУЛХАЛИМОВ МАГОМЕД СУЛТАНОВИЧ,Abdulkhalimov Magomed Sultanovich,02.12.1976,Male,"Deputy Minister of Labor and Social Protection of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Абдуллаев Байрам Сафарович,Abdullaev Bairam Safarovich,,Male,"Editor-in-Chief of the newspaper ""Nur"" (owned by the Agency of Information and Press of the Republic of Dagestan)","Propagandists
Regional press"
Абдуллазянов Эдвард Юнусович,Abdullazyanov Edward Yunusovich,08.04.1957,male,Rector of Kazan State Power Engineering University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
