REFERENCE_NUMBER,ENTITY_TYPE,FIRST_NAME,SECOND_NAME,THIRD_NAME,FOURTH_NAME,UN_LIST_TYPE,DESIGNATION,NATIONALITY,NATIONALITY2
KPi.033,INDIVIDUAL,RI,WON HO,,,DPRK,DPRK Ministry of State Security Official,Democratic People's Republic of Korea,
KPi.037,INDIVIDUAL,CHANG,CHANG HA,,,DPRK,President of the Second Academy of Natural Sciences (SANS),Democratic People's Republic of Korea,
KPi.038,INDIVIDUAL,CHO,CHUN RYONG,,,DPRK,Chairman of the Second Economic Committee (SEC) ,Democratic People's Republic of Korea ,
QDi.430,INDIVIDUAL,EMRAAN,ALI,,,Al-Qaida,,Trinidad and Tobago,
KPi.034,INDIVIDUAL,JO,YONG CHOL,,,DPRK,DPRK Ministry of State Security Official,Democratic People's Republic of Korea,
KPi.035,INDIVIDUAL,KIM,CHOL SAM,,,DPRK,Representative for Daedong Credit Bank (DCB),Democratic People's Republic of Korea,
KPi.036,INDIVIDUAL,KIM,SOK CHOL,,,DPRK,Acted as the DPRK Ambassador to Burma ,Democratic People's Republic of Korea,
KPi.030,INDIVIDUAL,KIM,SONG CHOL,,,DPRK,,Democratic People's Republic of Korea,
KPi.032,INDIVIDUAL,KIM,SE GON,,,DPRK,,Democratic People's Republic of Korea,
KPi.031,INDIVIDUAL,SON,JONG HYOK,,,DPRK,,Democratic People's Republic of Korea,
KPi.039,INDIVIDUAL,SON,MUN SAN,,,DPRK,"Director-General of the External Affairs Bureau of the General Bureau of
Atomic Energy (GBAE) ",Democratic People's Republic of Korea ,
YEi.001,INDIVIDUAL,ABD,AL-KHALIQ,AL-HOUTHI,,Yemen,Huthi military commander,Yemen,
SOi.020,INDIVIDUAL,MAHAD,KARATE,,,Somalia,,,
QDi.400,INDIVIDUAL,IYAD,NAZMI,SALIH,KHALIL,Al-Qaida,,Jordan,
QDi.343,INDIVIDUAL,ASHRAF,MUHAMMAD,YUSUF,'UTHMAN 'ABD AL-SALAM,Al-Qaida,,Jordan,
IRi.001,INDIVIDUAL,FEREIDOUN,ABBASI-DAVANI,,,Iran,"Senior Ministry of Defence and Armed Forces Logistics (MODAFL)
Scientist",,
TAi.155,INDIVIDUAL,ABDUL AZIZ,ABBASIN,,,Taliban,,,
QDi.012,INDIVIDUAL,NASHWAN,ABD AL-RAZZAQ,ABD AL-BAQI,,Al-Qaida,,Iraq,
IQi.043,INDIVIDUAL,HUMAM,ABD-AL-KHALIQ,ABD-AL-GHAFUR,,Iraq,,Iraq,
QDi.192,INDIVIDUAL,ABD ALLAH,MOHAMED,RAGAB,ABDEL RAHMAN,Al-Qaida,,Egypt,
TAi.121,INDIVIDUAL,AZIZIRAHMAN,ABDUL AHAD,,,Taliban,"Third Secretary, Taliban Embassy, Abu Dhabi, United Arab
Emirates",Afghanistan,
TAi.024,INDIVIDUAL,ABDUL GHANI,BARADAR,ABDUL AHMAD TURK,,Taliban,Deputy Minister of Defence under the Taliban regime,Afghanistan,
TAi.128,INDIVIDUAL,ABDUL QADEER,BASIR,ABDUL BASEER,,Taliban,"Military Attache, Taliban Embassy, Islamabad, Pakistan",Afghanistan,
TAi.100,INDIVIDUAL,NAZIR MOHAMMAD,ABDUL BASIR,,,Taliban,Mayor of Kunduz City,Afghanistan,
QDi.054,INDIVIDUAL,MAJEED,ABDUL CHAUDHRY,,,Al-Qaida,,Pakistan,
TAi.130,INDIVIDUAL,ABDUL GHAFAR,QURISHI,ABDUL GHANI,,Taliban,"Repatriation Attache, Taliban Embassy, Islamabad,
Pakistan",Afghanistan,
TAi.162,INDIVIDUAL,ABDUL SATAR,ABDUL MANAN,,,Taliban,,,
QDi.018,INDIVIDUAL,ABDUL MANAN AGHA,,,,Al-Qaida,,,
TAi.142,INDIVIDUAL,ABDUL HAI,HAZEM,ABDUL QADER,,Taliban,"First Secretary, Taliban Consulate General, Quetta,
Pakistan",Afghanistan,
TAi.105,INDIVIDUAL,AHMAD TAHA,KHALID,ABDUL QADIR,,Taliban,Governor of Paktia Province under the Taliban regime,Afghanistan,
TAi.080,INDIVIDUAL,SAYED ESMATULLAH,ASEM,ABDUL QUDDUS,,Taliban,"Deputy Minister of Preventing Vice and Propagating Virtue under the
Taliban regime",Afghanistan,
QDi.295,INDIVIDUAL,MUHAMMAD,JIBRIL,ABDUL RAHMAN,,Al-Qaida,,Indonesia,
QDi.229,INDIVIDUAL,ALY,SOLIMAN,MASSOUD,ABDUL SAYED,Al-Qaida,,Libya,
TAi.008,INDIVIDUAL,SHAMS,UR-RAHMAN,ABDUL ZAHIR,,Taliban,Deputy Minister of Agriculture under the Taliban regime,Afghanistan,
TAi.145,INDIVIDUAL,AMIR,ABDULLAH,,,Taliban,Former Kandahar Province Deputy Taliban Governor,Afghanistan,
QDi.309,INDIVIDUAL,ABDUR REHMAN,,,,Al-Qaida,,Pakistan,
QDi.363,INDIVIDUAL,MAGHOMED,MAGHOMEDZAKIROVICH,ABDURAKHMANOV,,Al-Qaida,,Russian Federation,
QDi.086,INDIVIDUAL,MOHAMAD,IQBAL,ABDURRAHMAN,,Al-Qaida,,Indonesia,
QDi.414,INDIVIDUAL,ABDULPATTA,ESCALON,ABUBAKAR,,Al-Qaida,,Philippines,
TAi.160,INDIVIDUAL,ABDUL SAMAD,ACHEKZAI,,,Taliban,,Afghanistan,
TAi.167,INDIVIDUAL,ADAM KHAN,ACHEKZAI,,,Taliban,,Pakistan,
QDi.304,INDIVIDUAL,MOCHAMMAD,ACHWAN,,,Al-Qaida,,Indonesia,
CFi.002,INDIVIDUAL,NOURREDINE,ADAM,,,CAR,General,Central African Republic,
SOi.018,INDIVIDUAL,ABUKAR,ALI,ADAN,,Somalia,Deputy leader of Al-Shabaab ,,
MLi.004,INDIVIDUAL,AHMED,AG ALBACHAR,,,Mali,President of the Humanitarian Commission of the Bureau Regional d’Administration et Gestion de Kidal ,Mali,
MLi.005,INDIVIDUAL,HOUKA,HOUKA,AG ALHOUSSEINI,,Mali,,Mali,
QDi.316,INDIVIDUAL,IYAD,AG GHALI,,,Al-Qaida,,Mali,
QDi.424,INDIVIDUAL,BAH,AG MOUSSA,,,Al-Qaida,,Mali,
TAi.114,INDIVIDUAL,ABDUL RAHMAN,AGHA,,,Taliban,"Chief Justice of Military Court under the Taliban
regime",Afghanistan,
TAi.156,INDIVIDUAL,AHMAD,ZIA,AGHA,,Taliban,,,
TAi.091,INDIVIDUAL,JANAN,AGHA,,,Taliban,Governor of Faryab Province under the Taliban regime,Afghanistan,
TAi.057,INDIVIDUAL,SAYED,MOHAMMAD,AZIM,AGHA,Taliban,"Director of the Passport and Visa Department in the Ministry of
Interior under the Taliban regime",Afghanistan,
TAi.072,INDIVIDUAL,SAYYED GHIASSOUDDINE,AGHA,,,Taliban,"Minister of Haj and Religious Affairs under the Taliban
regime",Afghanistan,
TAi.174,INDIVIDUAL,TOREK,AGHA,,,Taliban,,,
IRi.003,INDIVIDUAL,AZIM,AGHAJANI,,,Iran,"Member of the IRGC-Qods Force operating under the direction of Qods
Force Commander, Major General Qasem Soleimani, who was designated by the UN Security
Council in resolution 1747 (2007)",Iran (Islamic Republic of),
QDi.203,INDIVIDUAL,FARHAD,KANABI,AHMAD,,Al-Qaida,,Iraq,
IQi.080,INDIVIDUAL,MUHAMMAD,YUNIS,AHMAD,,Iraq,,Iraq,
